@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,354,0,70231,0,1,1,0.005015,1,0.994985,0.00998,1,1,0.000324
1,354,0,70219,12,0.999829,1,0.005016,1,0.994984,0.009982,0.99983,1.00017,0.000324
2,354,0,70218,13,0.999815,1,0.005016,1,0.994984,0.009982,0.999816,1.000184,0.000324
3,354,0,70217,14,0.999801,1,0.005016,1,0.994984,0.009982,0.999802,1.000198,0.000324
4,354,0,70216,15,0.999786,1,0.005016,1,0.994984,0.009983,0.999787,1.000213,0.000324
5,354,0,70215,16,0.999772,1,0.005016,1,0.994984,0.009983,0.999773,1.000227,0.000324
6,354,0,70214,17,0.999758,1,0.005016,1,0.994984,0.009983,0.999759,1.000241,0.000324
7,354,0,70213,18,0.999744,1,0.005017,1,0.994983,0.009983,0.999745,1.000255,0.000324
8,354,0,70212,19,0.999729,1,0.005017,1,0.994983,0.009983,0.999731,1.000269,0.000324
9,354,0,70211,20,0.999715,1,0.005017,1,0.994983,0.009983,0.999717,1.000283,0.000324
10,354,0,70210,21,0.999701,1,0.005017,1,0.994983,0.009983,0.999702,1.000298,0.000376
11,354,0,70170,61,0.999131,1,0.00502,1,0.99498,0.009989,0.999136,1.000865,0.000376
12,354,0,70169,62,0.999117,1,0.00502,1,0.99498,0.009989,0.999122,1.000879,0.000376
13,354,0,70168,63,0.999103,1,0.00502,1,0.99498,0.009989,0.999107,1.000893,0.000376
14,354,0,70167,64,0.999089,1,0.00502,1,0.99498,0.009989,0.999093,1.000908,0.000376
15,354,0,70166,65,0.999074,1,0.00502,1,0.99498,0.00999,0.999079,1.000922,0.000376
16,354,0,70165,66,0.99906,1,0.00502,1,0.99498,0.00999,0.999065,1.000936,0.000376
17,354,0,70164,67,0.999046,1,0.00502,1,0.99498,0.00999,0.999051,1.00095,0.000376
18,354,0,70163,68,0.999032,1,0.00502,1,0.99498,0.00999,0.999037,1.000964,0.000376
19,354,0,70162,69,0.999018,1,0.00502,1,0.99498,0.00999,0.999022,1.000979,0.000377
20,354,0,70161,70,0.999003,1,0.00502,1,0.99498,0.00999,0.999008,1.000993,0.000377
21,354,0,70160,71,0.998989,1,0.00502,1,0.99498,0.00999,0.998994,1.001007,0.000377
22,354,0,70159,72,0.998975,1,0.00502,1,0.99498,0.009991,0.99898,1.001021,0.000377
23,354,0,70158,73,0.998961,1,0.00502,1,0.99498,0.009991,0.998966,1.001035,0.000379
24,350,4,70158,73,0.998961,0.988701,0.004964,0.988701,0.995036,0.009878,0.998909,0.98978,0.000384
25,350,4,70156,75,0.998932,0.988701,0.004964,0.988701,0.995036,0.009879,0.998881,0.989808,0.000385
26,350,4,70155,76,0.998918,0.988701,0.004964,0.988701,0.995036,0.009879,0.998867,0.989822,0.000385
27,350,4,70154,77,0.998904,0.988701,0.004964,0.988701,0.995036,0.009879,0.998852,0.989836,0.000385
28,350,4,70150,81,0.998847,0.988701,0.004965,0.988701,0.995035,0.009879,0.998796,0.989893,0.000385
29,350,4,70148,83,0.998818,0.988701,0.004965,0.988701,0.995035,0.00988,0.998767,0.989921,0.000385
30,350,4,70147,84,0.998804,0.988701,0.004965,0.988701,0.995035,0.00988,0.998753,0.989935,0.000386
31,350,4,70143,88,0.998747,0.988701,0.004965,0.988701,0.995035,0.00988,0.998697,0.989991,0.000386
32,350,4,70142,89,0.998733,0.988701,0.004965,0.988701,0.995035,0.009881,0.998682,0.990005,0.000386
33,350,4,70141,90,0.998719,0.988701,0.004965,0.988701,0.995035,0.009881,0.998668,0.990019,0.000386
34,350,4,70138,93,0.998676,0.988701,0.004965,0.988701,0.995035,0.009881,0.998626,0.990061,0.000386
35,350,4,70134,97,0.998619,0.988701,0.004966,0.988701,0.995034,0.009882,0.998569,0.990117,0.000386
36,350,4,70133,98,0.998605,0.988701,0.004966,0.988701,0.995034,0.009882,0.998555,0.990131,0.000386
37,350,4,70128,103,0.998533,0.988701,0.004966,0.988701,0.995034,0.009883,0.998484,0.990202,0.000386
38,350,4,70127,104,0.998519,0.988701,0.004966,0.988701,0.995034,0.009883,0.99847,0.990216,0.000386
39,350,4,70122,109,0.998448,0.988701,0.004967,0.988701,0.995033,0.009883,0.998399,0.990286,0.000386
40,350,4,70121,110,0.998434,0.988701,0.004967,0.988701,0.995033,0.009884,0.998385,0.9903,0.000386
41,350,4,70120,111,0.99842,0.988701,0.004967,0.988701,0.995033,0.009884,0.998371,0.990314,0.000386
42,350,4,70118,113,0.998391,0.988701,0.004967,0.988701,0.995033,0.009884,0.998342,0.990342,0.000386
43,350,4,70117,114,0.998377,0.988701,0.004967,0.988701,0.995033,0.009884,0.998328,0.990356,0.000386
44,350,4,70116,115,0.998363,0.988701,0.004967,0.988701,0.995033,0.009884,0.998314,0.99037,0.000387
45,350,4,70111,120,0.998291,0.988701,0.004967,0.988701,0.995033,0.009885,0.998243,0.990441,0.000387
46,350,4,70110,121,0.998277,0.988701,0.004967,0.988701,0.995033,0.009885,0.998229,0.990455,0.000387
47,350,4,70109,122,0.998263,0.988701,0.004967,0.988701,0.995033,0.009885,0.998215,0.990469,0.000387
48,350,4,70100,131,0.998135,0.988701,0.004968,0.988701,0.995032,0.009886,0.998087,0.990595,0.000387
49,350,4,70093,138,0.998035,0.988701,0.004969,0.988701,0.995031,0.009887,0.997988,0.990694,0.000387
50,350,4,70091,140,0.998007,0.988701,0.004969,0.988701,0.995031,0.009888,0.99796,0.990722,0.000387
51,350,4,70089,142,0.997978,0.988701,0.004969,0.988701,0.995031,0.009888,0.997932,0.99075,0.000387
52,350,4,70088,143,0.997964,0.988701,0.004969,0.988701,0.995031,0.009888,0.997917,0.990764,0.000387
53,350,4,70087,144,0.99795,0.988701,0.004969,0.988701,0.995031,0.009888,0.997903,0.990778,0.000387
54,350,4,70084,147,0.997907,0.988701,0.004969,0.988701,0.995031,0.009889,0.997861,0.99082,0.000387
55,350,4,70077,154,0.997807,0.988701,0.00497,0.988701,0.99503,0.00989,0.997762,0.990919,0.000387
56,350,4,70072,159,0.997736,0.988701,0.00497,0.988701,0.99503,0.00989,0.997691,0.990989,0.000387
57,350,4,70065,166,0.997636,0.988701,0.004971,0.988701,0.995029,0.009891,0.997592,0.991088,0.000387
58,350,4,70064,167,0.997622,0.988701,0.004971,0.988701,0.995029,0.009891,0.997577,0.991102,0.000387
59,350,4,70058,173,0.997537,0.988701,0.004971,0.988701,0.995029,0.009892,0.997492,0.991186,0.000387
