@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,1,0,824,0,1,1,0.001212,1,0.998788,0.002421,1,1,0.000996
1,1,0,821,3,0.996359,1,0.001217,1,0.998783,0.00243,0.996364,?,0.001021
2,1,0,818,6,0.992718,1,0.001221,1,0.998779,0.002439,0.992727,?,0.001023
3,1,0,810,14,0.98301,1,0.001233,1,0.998767,0.002463,0.98303,?,0.001025
4,1,0,809,15,0.981796,1,0.001235,1,0.998765,0.002466,0.981818,?,0.001026
5,1,0,795,29,0.964806,1,0.001256,1,0.998744,0.002509,0.964848,?,0.001336
6,1,0,793,31,0.962379,1,0.001259,1,0.998741,0.002516,0.962424,?,0.001547
7,1,0,790,34,0.958738,1,0.001264,1,0.998736,0.002525,0.958788,?,0.001589
8,1,0,787,37,0.955097,1,0.001269,1,0.998731,0.002535,0.955152,?,0.001592
9,1,0,784,40,0.951456,1,0.001274,1,0.998726,0.002545,0.951515,?,0.010338
10,1,0,781,43,0.947816,1,0.001279,1,0.998721,0.002554,0.947879,?,0.010355
11,1,0,780,44,0.946602,1,0.00128,1,0.99872,0.002558,0.946667,?,0.011947
12,1,0,778,46,0.944175,1,0.001284,1,0.998716,0.002564,0.944242,?,0.011978
13,1,0,777,47,0.942961,1,0.001285,1,0.998715,0.002567,0.94303,?,0.012238
14,1,0,774,50,0.93932,1,0.00129,1,0.99871,0.002577,0.939394,?,0.012268
15,1,0,767,57,0.930825,1,0.001302,1,0.998698,0.002601,0.930909,?,0.012297
16,1,0,720,104,0.873786,1,0.001387,1,0.998613,0.00277,0.873939,?,0.012297
17,1,0,719,105,0.872573,1,0.001389,1,0.998611,0.002774,0.872727,?,0.012297
18,1,0,718,106,0.871359,1,0.001391,1,0.998609,0.002778,0.871515,?,0.012297
19,1,0,717,107,0.870146,1,0.001393,1,0.998607,0.002782,0.870303,?,0.012335
20,1,0,715,109,0.867718,1,0.001397,1,0.998603,0.002789,0.867879,?,0.012732
21,1,0,714,110,0.866505,1,0.001399,1,0.998601,0.002793,0.866667,?,0.014124
22,1,0,713,111,0.865291,1,0.001401,1,0.998599,0.002797,0.865455,?,0.014322
23,1,0,711,113,0.862864,1,0.001404,1,0.998596,0.002805,0.86303,?,0.014322
24,1,0,710,114,0.86165,1,0.001406,1,0.998594,0.002809,0.861818,?,0.014322
25,1,0,709,115,0.860437,1,0.001408,1,0.998592,0.002813,0.860606,?,0.014322
26,1,0,708,116,0.859223,1,0.00141,1,0.99859,0.002817,0.859394,?,0.014322
27,1,0,707,117,0.85801,1,0.001412,1,0.998588,0.002821,0.858182,?,0.014322
28,1,0,706,118,0.856796,1,0.001414,1,0.998586,0.002825,0.85697,?,0.014322
29,1,0,705,119,0.855583,1,0.001416,1,0.998584,0.002829,0.855758,?,0.014322
30,1,0,704,120,0.854369,1,0.001418,1,0.998582,0.002833,0.854545,?,0.014322
31,1,0,703,121,0.853155,1,0.00142,1,0.99858,0.002837,0.853333,?,0.014322
32,1,0,702,122,0.851942,1,0.001422,1,0.998578,0.002841,0.852121,?,0.014322
33,1,0,701,123,0.850728,1,0.001425,1,0.998575,0.002845,0.850909,?,0.014322
34,1,0,700,124,0.849515,1,0.001427,1,0.998573,0.002849,0.849697,?,0.014322
35,1,0,699,125,0.848301,1,0.001429,1,0.998571,0.002853,0.848485,?,0.014322
36,1,0,698,126,0.847087,1,0.001431,1,0.998569,0.002857,0.847273,?,0.014461
37,1,0,697,127,0.845874,1,0.001433,1,0.998567,0.002861,0.846061,?,0.014671
38,1,0,693,131,0.841019,1,0.001441,1,0.998559,0.002878,0.841212,?,0.014706
39,1,0,685,139,0.831311,1,0.001458,1,0.998542,0.002911,0.831515,?,0.014706
40,1,0,684,140,0.830097,1,0.00146,1,0.99854,0.002915,0.830303,?,0.014706
41,1,0,683,141,0.828883,1,0.001462,1,0.998538,0.00292,0.829091,?,0.014706
42,1,0,682,142,0.82767,1,0.001464,1,0.998536,0.002924,0.827879,?,0.014706
43,1,0,681,143,0.826456,1,0.001466,1,0.998534,0.002928,0.826667,?,0.014706
44,1,0,680,144,0.825243,1,0.001468,1,0.998532,0.002933,0.825455,?,0.014714
45,1,0,679,145,0.824029,1,0.001471,1,0.998529,0.002937,0.824242,?,0.014741
46,1,0,647,177,0.785194,1,0.001543,1,0.998457,0.003082,0.785455,?,0.014741
47,1,0,646,178,0.783981,1,0.001546,1,0.998454,0.003086,0.784242,?,0.014741
48,1,0,644,180,0.781553,1,0.00155,1,0.99845,0.003096,0.781818,?,0.014741
